Country Code,year,delta_tariff,delta_tariff_lag1,delta_Balance_paiements_lag1,delta_Emploi_lag1,delta_IPC_lag1,delta_Production volume_lag1,delta_PIB_lag1,delta_Taux_change_lag1,delta_Chômage_lag1,dep_k0
FIN,2005,0.21999999999999975,-0.2799999999999998,1.0324461525878075,-0.27500000000009095,-0.006382585043394062,4.406153297638582,0.6886089726725403,-0.08030112249246601,-0.18333333333333002,-0.36597113503143186
FIN,2006,-0.16000000000000014,0.21999999999999975,-2.287707130228336,36.17499999999973,0.011389694542190743,-0.5109182798804213,-0.36597113503143186,-0.00024267915778097837,-0.42499999999999893,0.36950459599042396
FIN,2007,-0.05999999999999961,-0.16000000000000014,0.45672633196345513,42.65000000000009,0.026362534548956873,7.161529602370088,0.36950459599042396,-0.007922194316820064,-0.68333333333333,0.27903435318651515
FIN,2008,-0.5200000000000002,-0.05999999999999961,0.2635352743016983,48.15000000000009,0.03492178242591226,4.371024291096674,0.27903435318651515,-0.06621179361352492,-0.8500000000000005,-1.9135881505880823
FIN,2009,0.13000000000000012,-0.5200000000000002,-2.2906956649125854,39.25,0.055285078153963774,-0.6979057785447083,-1.9135881505880823,-0.046503087324034076,-0.5,
FIN,2012,-0.13000000000000012,-0.5399999999999998,-2.698810572574904,26.200000000000273,0.05611085628034651,1.4066179951684248,-0.2819702197908869,-0.03588476378693706,-0.5749999999999904,
FIN,2017,-0.1299999999999999,0.06999999999999984,-0.8176348157647865,11.299999999999727,0.009190132085883373,3.9410742861792585,1.7071479527978548,0.0028298830070899728,-0.5416666666666696,0.25028497317452025
FIN,2018,-0.1299999999999999,-0.1299999999999999,1.010422247890745,25.09999999999991,0.011393648728811545,2.0684103757521655,0.25028497317452025,-0.017174353025598,-0.15000000000000036,-1.0184907326699932
FIN,2019,0.010000000000000009,-0.1299999999999999,-1.0198677828362408,66.72500000000036,0.013898707138968902,1.2420808643323369,-1.0184907326699932,-0.039782688743019934,-1.3333333333333295,0.1234583486226409
FIN,2020,-0.3600000000000001,0.010000000000000009,1.8736338093595069,25.674999999999727,0.009509859221521033,0.46564511226172556,0.1234583486226409,0.04602388604209795,-0.69166666666667,
