,Country Name,Country Code,year,Balance des transactions courantes en pourcentage du PIB,Cours des actions,Emploi,"Importations de biens et services, volume",M3,Prix à la consommation,"Produit intérieur brut, volume",Taux de change nominal,Taux de chômage,tariff,tariff_lag1,delta_tariff
1504,Switzerland,CHE,2011,6.905441975223239,-6.71222535137582,4297.775,9.408477928519709,44.3854189239621,102.097929494693,1.4076606134574388,0.887214761747914,4.401668394045508,1.91,1.49,0.4199999999999999
1505,Switzerland,CHE,2012,8.835964038788177,2.67240041674148,4351.1,-2.181966097113703,48.18311242616361,101.390848223534,1.124135890807936,0.937480038741452,4.484188237313427,1.36,1.91,-0.5499999999999998
1506,Switzerland,CHE,2013,10.286456624140452,23.089919295061,4392.4,11.84112365650373,50.941398577992835,101.170502433176,1.8361239061643675,0.927016492251709,4.747292142222041,1.97,1.36,0.6099999999999999
1507,Switzerland,CHE,2014,7.173991485193007,10.3603786348741,4468.35,-6.618401629249193,50.92167299499404,101.157145358387,2.543423480291312,0.91504721963423,4.829987515398798,1.87,1.97,-0.0999999999999998
1508,Switzerland,CHE,2015,8.819974400472011,4.59962088682891,4537.95,4.758654998371148,50.963134834981076,100.0,1.454503248968655,0.962342149209486,4.800638596252196,1.3,1.87,-0.5700000000000001
1509,Switzerland,CHE,2016,6.994491612112168,-7.73844035908042,4603.9,5.232956830300695,52.31692327892726,99.5653813357142,1.9115910628378696,0.985124702773072,4.9191804927589455,1.31,1.3,0.01
1510,Switzerland,CHE,2017,4.912032191378085,12.6334248394354,4636.25,-0.5411113995491625,54.89227111463845,100.09684923396,1.4203461265460986,0.984746508093356,4.797587531576728,1.68,1.31,0.3699999999999999
1511,Switzerland,CHE,2018,5.925940911168647,0.965300961535175,4675.125,0.5529464052591827,56.03038434958381,101.034091531798,3.327432508387393,0.977904059304222,4.714413963724699,1.7,1.68,0.02
1512,Switzerland,CHE,2019,4.001240358580074,8.84644452861891,4705.775,0.3456776063135673,,101.400730286996,1.115321898936181,0.993780631077859,4.394451842306626,6.12,1.7,4.42
1513,Switzerland,CHE,2020,0.6932683740067866,3.73786915403624,,-2.767764581116961,,100.664687803646,-2.2552579865602462,0.938997617949683,,1.36,6.12,-4.76
1514,Switzerland,CHE,2021,7.873831134749361,15.4673136649369,4707.025,5.110086058927501,,101.250369219954,6.1762283854523305,0.914026063507748,5.015058236729323,1.4,1.36,0.0399999999999998
1515,Switzerland,CHE,2022,8.649328829021233,-4.75126891129753,4752.225,6.191780457276213,,104.120845523718,3.534302914657077,0.954656859040718,4.123311167521486,1.3,1.4,-0.0999999999999998
1516,Turkiye,TUR,1988,,,,,28.150436098051664,0.0187413916168165,,0.0014214173337039,,,,
1517,Turkiye,TUR,1989,,68.75,,,34.92121900697429,0.030599548519856,,0.0021199612034982,,,,
1518,Turkiye,TUR,1990,,343.518518518518,,,31.12376377092519,0.0490522651506362,,0.0026064373712278,,,,
1519,Turkiye,TUR,1991,,-6.47181628392483,,,28.69891398520015,0.0814162383514996,,0.0041688720992534,,,,
1520,Turkiye,TUR,1992,,6.25,,,43.711530719317004,0.13846956690016,,0.0068605412074941,,,,
1521,Turkiye,TUR,1993,,161.134453781513,,,32.192967892465596,0.229989429762932,,0.0109644455934343,,6.1,,
1522,Turkiye,TUR,1994,,109.332260659694,,,59.083328541442,0.471972817552524,,0.0297781480708251,,,6.1,
1523,Turkiye,TUR,1995,-0.8213371918336732,93.3897002305918,,,55.77723011121011,0.892563411672202,,0.0457384395296129,,6.74,,
1524,Turkiye,TUR,1996,-0.8278885567176006,62.9968203497615,,20.06311586489098,54.51330228522527,1.61029277594395,7.157798475577446,0.0812810041977061,,3.19,6.74,-3.5500000000000003
1525,Turkiye,TUR,1997,-1.0109017048928874,196.671543525969,,20.97363469214318,57.52207737974273,2.98982043140505,7.357862369133981,0.151594914155448,,5.65,3.19,2.4600000000000004
1526,Turkiye,TUR,1998,0.8607673619004254,60.0501376731188,,2.12471028922403,51.749933555802144,5.52044437949069,1.9085706458372464,0.260472600898739,,3.2,5.65,-2.45
