Country Code,year,delta_tariff,delta_tariff_lag1,delta_Balance_paiements_lag1,delta_Emploi_lag1,delta_IPC_lag1,delta_PIB_lag1,delta_Taux_change_lag1,delta_Chômage_lag1,dep_k0
CAN,2001,0.29000000000000004,0.30000000000000004,2.3708387915018543,358.14166666669917,0.0268312018059067,-0.0004794686406652815,-0.0004313128984401171,-0.7750000000000004,-1.0081078396739933
CAN,2002,-0.1100000000000001,0.29000000000000004,-0.3346587135180332,172.17499999999927,0.0249376570991382,-1.0081078396739933,0.06329781933116996,0.40000000000000036,0.4697030480133164
CAN,2003,0.97,-0.1100000000000001,-0.4628181730223542,359.02500000000146,0.02233270247858421,0.4697030480133164,0.021632760091910175,0.4583333333333295,-0.50703635348112
CAN,2004,-0.95,0.97,-0.5190059851141822,369.51666666669917,0.027212004194000272,-0.50703635348112,-0.16967880074880015,-0.09999999999999964,0.5376081083423245
CAN,2005,-0.050000000000000044,-0.95,1.1189951849534379,254.18333333329974,0.018402222859736916,0.5376081083423245,-0.09926378251438983,-0.3833333333333302,0.03747668843770846
CAN,2006,-0.010000000000000009,-0.050000000000000044,-0.44087679540495106,208.49166666669953,0.021894086066799545,0.03747668843770846,-0.08938699802306016,-0.4333333333333398,-0.1964127507595922
CAN,2007,0.09000000000000008,-0.010000000000000009,-0.45734866693586373,290.23333333330083,0.0198224839161103,-0.1964127507595922,-0.0773891540745899,-0.29166666666665986,-0.25220646443485095
CAN,2008,0.0,0.09000000000000008,-0.6201341583744773,343.0750000000007,0.021158413612887728,-0.25220646443485095,-0.060001187071810014,-0.3000000000000007,-0.7223975068786905
CAN,2012,0.020000000000000018,-0.08000000000000007,0.8490273226748521,241.4083333333001,0.028705380789997292,0.014896884693153867,-0.04110647233201403,-0.533333333333335,-0.58048329822854
CAN,2013,0.050000000000000044,0.020000000000000018,-0.8163337564688993,212.03333333333285,0.015043065897674346,-0.58048329822854,0.010112773699730071,-0.22499999999999876,0.2812242938368906
CAN,2014,-0.020000000000000018,0.050000000000000044,0.3906845144675848,236.09166666666715,0.009339172825381326,0.2812242938368906,0.03088717179559397,-0.25,0.21144934053195985
CAN,2015,0.21999999999999997,-0.020000000000000018,0.8229907961311493,70.75833333333867,0.0188868738786363,0.21144934053195985,0.07456803900810005,-0.1250000000000009,-1.4863467630729317
CAN,2016,-0.08999999999999986,0.21999999999999997,-1.1762679288975875,118.7416666666577,0.011189576146112046,-1.4863467630729317,0.17357979743082996,-0.041666666666666075,0.4686539199597584
CAN,2017,-0.040000000000000036,-0.08999999999999986,0.39818706026388595,109.70833333333576,0.014186489679075542,0.4686539199597584,0.04713541337284988,0.06666666666666554,1.0720010737780776
CAN,2018,-0.050000000000000044,-0.040000000000000036,0.29671776839659847,405.2833333333365,0.015842680659733155,1.0720010737780776,-0.027308692358359865,-0.633333333333332,-0.100788584694395
CAN,2019,0.040000000000000036,-0.050000000000000044,0.4208774844855072,334.4333333333343,0.02242883923648975,-0.100788584694395,-0.001967459611650124,-0.5916666666666659,-0.36275696517357314
CZE,2001,-0.11000000000000032,1.5300000000000002,-2.325104106411839,-32.82499999999982,0.03705864961124572,1.0680633860995632,4.048237332564803,0.07500000000000107,-0.31832726836774916
CZE,2002,0.1200000000000001,-0.11000000000000032,-0.28475409917228944,2.350000000000364,0.045572379027092325,-0.31832726836774916,-0.6082208393459041,-0.6500000000000004,-0.6562328622653077
CZE,2003,0.019999999999999574,0.1200000000000001,-0.32433668198549714,47.55000000000018,0.018851007690917854,-0.6562328622653077,-5.295573480940995,-0.8333333333333304,0.7797779376935945
CZE,2004,-2.1099999999999994,0.019999999999999574,-0.34177536530413377,-29.950000000000728,0.0011866876628596756,0.7797779376935945,-4.524536542690704,0.48333333333333073,0.36108859957168216
CZE,2007,-0.05999999999999961,-0.16000000000000014,-0.18886223817088776,64.05000000000018,0.025024192572007387,0.03818594078371351,-1.3695431159419975,-0.8083333333333398,-0.18786017852046877
CZE,2008,-0.5200000000000002,-0.05999999999999961,-1.962645582686548,93.875,0.02813180759902778,-0.18786017852046877,-2.2960406322542006,-1.80833333333333,-0.7424955433906364
CZE,2016,0.06999999999999984,-0.009999999999999787,-0.09047318565719198,67.72499999999945,0.0030888700103064437,0.7923553675260745,3.8352077326055998,-1.0583333333333398,-0.653028799465569
CZE,2017,-0.1299999999999999,0.06999999999999984,1.0612906441698895,96.5,0.006811789090346743,-0.653028799465569,-0.15238114844089878,-1.0916666666666601,0.6954354586029685
CZE,2018,-0.1299999999999999,-0.1299999999999999,-0.3076720993130697,83.07500000000073,0.024209900831616338,0.6954354586029685,-1.0551300246251998,-1.0583333333333398,-0.6031772723706965
CZE,2019,0.010000000000000009,-0.1299999999999999,-1.243260928568751,72.17499999999927,0.021267191058669255,-0.6031772723706965,-1.6556636128364026,-0.64166666666666,0.2309970734391038
FRA,2002,-0.9199999999999999,0.96,0.4272329835344919,469.98875000000044,0.01621562123884779,-0.7793747034026534,0.031535018206160004,-0.81666666666667,-0.5760269134496263
FRA,2007,-0.05999999999999961,-0.16000000000000014,0.15966014167779508,165.97500000000218,0.016612490255759838,0.3626270136922115,-0.007922194316820064,-0.041666666666666075,-0.07005932885638433
FRA,2008,-0.5200000000000002,-0.05999999999999961,-0.39103160249935986,436.5249999999978,0.014770359783343068,-0.07005932885638433,-0.06621179361352492,-0.8249999999999993,-1.895520408438644
FRA,2012,-0.13000000000000012,-0.5399999999999998,-0.1464392748924328,28.150000000001455,0.02089612677381858,0.19769477573781546,-0.03588476378693706,-0.08333333333333215,-2.584719544763275
FRA,2013,0.030000000000000027,-0.13000000000000012,-0.1970978470983077,45.39999999999782,0.019353460907971964,-2.584719544763275,0.05884745592571605,0.5583333333333336,1.4474975745902035
FRA,2016,0.06999999999999984,-0.009999999999999787,0.5678120817007216,65.79999999999927,0.0003750734562819602,0.06679013239783518,0.14775650326243805,0.09166666666666856,-0.2154168887460307
FRA,2017,-0.1299999999999999,0.06999999999999984,-0.17374804485854056,137.875,0.001831670078916936,-0.2154168887460307,0.0028298830070899728,-0.3000000000000007,0.8848960546031396
FRA,2018,-0.1299999999999999,-0.1299999999999999,0.13653797565989406,223.29999999999927,0.01026991097652541,0.8848960546031396,-0.017174353025598,-0.6416666666666675,-0.23581165126572468
FRA,2019,0.010000000000000009,-0.1299999999999999,-0.13737161067950526,218.40000000000146,0.01833895943281494,-0.23581165126572468,-0.039782688743019934,-0.3999999999999986,0.20848646354521705
DEU,2007,-0.05999999999999961,-0.16000000000000014,1.05926237114394,810.9499999999971,0.015651171337169423,1.4683117210117347,-0.007922194316820064,-1.008333333333299,-0.28806717803449833
DEU,2008,-0.5200000000000002,-0.05999999999999961,0.9262311286505458,816.25,0.022723265727009334,-0.28806717803449833,-0.06621179361352492,-1.7333333333333307,-1.1808603392862793
DEU,2013,0.030000000000000027,-0.13000000000000012,0.9201825783115014,340.0749999999971,0.019885870715996568,-2.08700385347404,0.05884745592571605,-0.44166666666667,-0.1675095316896852
DEU,2014,0.5399999999999998,0.030000000000000027,-0.43534546497728055,403.77500000000146,0.014935136206461586,-0.1675095316896852,-0.024708552089215075,-0.14166666666666394,1.7088198989880277
DEU,2015,-0.009999999999999787,0.5399999999999998,0.5567581262648957,339.8000000000029,0.009027103177618123,1.7088198989880277,0.0003974823389170101,-0.23333333333333606,-0.2695298838801732
DEU,2016,0.06999999999999984,-0.009999999999999787,0.9733402894157717,339.1999999999971,0.005131023869561879,-0.2695298838801732,0.14775650326243805,-0.34999999999999787,0.2875627902015848
DEU,2017,-0.1299999999999999,0.06999999999999984,0.6960411509705562,1056.4000000000015,0.004905434904274308,0.2875627902015848,0.0028298830070899728,-0.4583333333333326,0.23542604973136205
DEU,2018,-0.1299999999999999,-0.1299999999999999,-0.8915423166585938,396.3000000000029,0.014982170265025907,0.23542604973136205,-0.017174353025598,-0.37499999999999956,-0.9065520819095461
DEU,2019,0.010000000000000009,-0.1299999999999999,0.36292204960748364,251.375,0.017173366570070847,-0.9065520819095461,-0.039782688743019934,-0.3333333333333335,-0.15254319268965028
GRC,2007,-0.05999999999999961,-0.16000000000000014,-2.6504741125851634,84.02499999999964,0.03145938305284357,1.6945745649784423,-0.007922194316820064,-0.9749999999999712,-0.6083320828815291
GRC,2008,-0.5200000000000002,-0.05999999999999961,-3.265237049791704,36.45000000000073,0.028538874718305962,-0.6083320828815291,-0.06621179361352492,-0.6166666666666689,-4.111149051993111
GRC,2019,0.010000000000000009,-0.1299999999999999,-0.8721051989435389,75.27499999999964,0.006236716270935361,0.33758583620161675,-0.039782688743019934,-2.1000000000000014,0.09796653663474852
ITA,2002,-0.9199999999999999,0.96,0.4165418502986614,433.8250000000007,0.02747085199587218,-0.6600141952222598,0.031535018206160004,-1.0416666666666714,-2.0059115245765415
