Country Name,Country Code,year,Balance des transactions courantes en pourcentage du PIB,Cours des actions,Emploi,"Importations de biens et services, volume",M3,Prix à la consommation,Production volume,"Produit intérieur brut, volume",Taux de change nominal,Taux de chômage,tariff_AR,tariff_FN,tariff_selected,tariff_lag1,delta_tariff
Portugal,PRT,1996,-4.553607438289423,15.5760270278369,4409.1,5.920804164226402,65.92690203113588,34.73424550468126,64.73769919880412,3.504246560818756,0.769213279330148,7.24166666666667,1.33,2.68,2.68,2.68,0.0
Portugal,PRT,1997,-6.137059645488029,56.9205640868588,4491.0,10.306298693312856,65.92690203113588,35.1440211618395,65.24313722821178,4.400867681174734,0.873696183863556,6.74166666666667,1.33,2.68,2.68,2.68,0.0
Portugal,PRT,1998,-7.568716078835665,58.3972003824795,4847.875,14.654402537640395,65.92690203113588,36.13607355059605,69.11246429765927,4.807962854204165,0.898580130219504,6.1,2.41,3.75,3.75,2.68,1.0699999999999998
Portugal,PRT,1999,-8.927346062016825,-8.45915665273962,4924.8,9.022048148904943,65.92690203113588,36.8352608657146,69.0270389436742,3.9065777620682502,0.938562898111359,5.725,2.41,3.75,3.75,3.75,0.0
Portugal,PRT,2000,-10.797195338633822,21.1004491860498,5039.975,5.543871319279563,65.92690203113588,38.10926798897782,109.39351591676817,3.8161773607625777,1.0850960701302,5.26666666666667,2.41,3.75,3.75,3.75,0.0
Portugal,PRT,2001,-10.42595082530713,-23.0189687840713,5127.775,1.0200477400417347,65.92690203113588,40.47070527213728,98.24593796833132,1.9436723318518792,1.11663108833636,5.375,3.37,4.07,4.07,3.75,0.3200000000000003
Portugal,PRT,2002,-8.436276018275324,-18.3034508731744,5143.0,-0.2603148970250536,65.92690203113588,41.46434673300915,98.8054231818087,0.7709245036052244,1.06106513282085,6.46666666666667,2.45,3.91,3.91,4.07,-0.16000000000000014
Portugal,PRT,2003,-6.715545729059405,-6.97777819336197,5092.5,-0.2365490325071147,65.92690203113588,42.55045503132165,90.81320069714741,-0.930520921213716,0.885163216727309,7.80833333333333,2.52,4.01,4.01,3.91,0.09999999999999964
Portugal,PRT,2004,-7.983559391056099,27.5202636854953,5061.05,7.418124565781918,65.92690203113588,43.09204251545955,87.13366732537934,1.788735503581621,0.804862094234843,8.16666666666666,2.24,3.64,3.64,4.01,-0.36999999999999966
Portugal,PRT,2005,-9.684026463663034,11.3291118785369,5047.05,2.1983464466141633,65.92690203113588,44.00228834058086,91.33829383354565,0.7818476787839617,0.804619415077062,9.23333333333334,2.46,3.54,3.54,3.64,-0.10000000000000009
Portugal,PRT,2006,-10.145014775602544,29.5625283221933,5078.1,7.584467096591746,65.92690203113588,45.74959969256067,84.75285417448725,1.6250351021744986,0.796697220760242,9.3,2.3,3.33,3.33,3.54,-0.20999999999999996
Portugal,PRT,2007,-9.609230213871854,30.3921249837758,5091.25,5.613993524545493,65.92690203113588,46.507298381019,82.11865154352178,2.506579377325938,0.730485427146717,9.58333333333333,2.24,3.23,3.23,3.33,-0.10000000000000009
Portugal,PRT,2008,-11.804844026495788,-25.1309743147843,5115.95,2.2489058544336595,65.92690203113588,47.746652979449465,75.75242431294646,0.3192473069317215,0.683982339822683,9.24166666666667,1.72,2.99,2.99,3.23,-0.23999999999999977
Portugal,PRT,2009,-10.406374542262814,-16.2682187345355,4968.425,-9.50382867046893,65.92690203113588,45.6465109352788,61.739845509138654,-3.122078245337053,0.719800423489554,11.225,1.85,3.23,3.23,2.99,0.23999999999999977
Portugal,PRT,2010,-10.135622766888687,7.62745689260374,4897.875,7.789012585093976,65.92690203113588,47.41164744602606,63.42899086025604,1.737624769277743,0.755043518257105,12.5833333333333,2.13,3.08,3.08,3.23,-0.1499999999999999
Portugal,PRT,2011,-6.106560285991673,-4.50554344936231,4738.175,-6.195777889096543,65.92690203113588,50.24320112605844,57.61511072123782,-1.7135278132150018,0.719158754470168,13.533333333333331,1.59,3.0,3.0,3.08,-0.08000000000000007
Portugal,PRT,2012,-0.9788693314570848,-17.1607429015808,4545.5,-6.297527113310442,65.92690203113588,51.14612377394466,50.251369836490106,-4.050902319037878,0.778006210395884,16.566666666666666,1.46,2.84,2.84,3.0,-0.16000000000000014
Portugal,PRT,2013,1.6567901561912586,19.8670184572256,4427.85,4.707323123572659,65.92690203113588,50.03321107342063,48.857328962493774,-0.9841067316943312,0.753297658306669,17.241666666666667,1.49,2.95,2.95,2.84,0.11000000000000032
Portugal,PRT,2014,0.6275070799269991,6.9275333551481,4498.3,8.008046581997846,65.92690203113588,49.61813864450038,48.82594085632684,0.7413911750484661,0.753695140645586,14.65,2.03,3.07,3.07,2.95,0.11999999999999966
Portugal,PRT,2015,0.595698020476893,-7.86623139477645,4547.4,8.06564283065219,65.92690203113588,50.24396931195237,50.2723300626623,1.5897978649057238,0.901451643908024,12.983333333333333,2.02,3.09,3.09,3.07,0.020000000000000018
